MAL_ID,Name,Score,Genre,Episodes,Studios,Source,Rating,Favorites,Completed,Dropped,Premiered
379,Heppoko Jikken Animation Excel♥Saga,7.5,Comedy,26,J.C.Staff,Manga,R - 17+ (violence & profanity),947,47372,7352,Fall 1999
1050,Bobobo-bo Bo-bobo,7.5,Sci-Fi,76,Toei Animation,Manga,PG-13 - Teens 13 or older,976,31822,9371,Fall 2003
18497,Yozakura Quartet: Hana no Uta,7.5,Action,13,Tatsunoko Production,Manga,PG-13 - Teens 13 or older,409,42552,3387,Fall 2013
36754,Kakuriyo no Yadomeshi,7.5,Drama,26,Gonzo,Novel,PG-13 - Teens 13 or older,946,41433,6839,Spring 2018
5712,Tanoshii Muumin Ikka Bouken Nikki,7.5,Slice of Life,26,Telescreen,Book,G - All Ages,16,3313,166,Fall 1991
16524,Suisei no Gargantia,7.5,Action,13,Production I.G,Original,PG-13 - Teens 13 or older,1185,195150,8134,Spring 2013
12679,Joshiraku,7.49,Slice of Life,13,J.C.Staff,Manga,PG-13 - Teens 13 or older,415,34587,4615,Summer 2012
31580,Ajin,7.49,Action,13,Polygon Pictures,Manga,R - 17+ (violence & profanity),2664,280192,24267,Winter 2016
334,Marmalade Boy,7.49,Comedy,76,Toei Animation,Manga,PG-13 - Teens 13 or older,578,20651,3067,Spring 1994
33028,Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,7.49,Action,11,Lerche,Game,R - 17+ (violence & profanity),2733,160854,4795,Summer 2016
11433,Ano Natsu de Matteru,7.49,Comedy,12,J.C.Staff,Original,PG-13 - Teens 13 or older,1926,186825,9060,Winter 2012
38555,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,7.49,Comedy,12,SILVER LINK.,Light novel,PG-13 - Teens 13 or older,1787,144162,7770,Spring 2020
33731,Gabriel DropOut,7.49,Comedy,12,Doga Kobo,Manga,PG-13 - Teens 13 or older,2845,217706,14450,Winter 2017
39617,Yakusoku no Neverland 2nd Season,7.49,Sci-Fi,11,CloverWorks,Manga,R - 17+ (violence & profanity),5090,60,6966,Winter 2021
1840,Zero no Tsukaima: Futatsuki no Kishi,7.49,Action,12,J.C.Staff,Light novel,PG-13 - Teens 13 or older,1365,358412,5536,Summer 2007
26243,Owari no Seraph,7.49,Action,12,Wit Studio,Manga,R - 17+ (violence & profanity),10730,642719,24383,Spring 2015
36522,Ling Qi 2,7.49,Action,12,Haoliners Animation League,Web manga,PG-13 - Teens 13 or older,178,15475,840,Winter 2018
40454,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,7.49,Action,12,J.C.Staff,Light novel,PG-13 - Teens 13 or older,1678,132998,4974,Fall 2020
1608,Salaryman Kintarou,7.49,Comedy,20,JCF,Manga,R+ - Mild Nudity,31,3080,357,Winter 2001
14289,Sukitte Ii na yo.,7.49,Drama,13,Zexcs,Manga,PG-13 - Teens 13 or older,4432,348399,13558,Fall 2012
3420,Shigofumi,7.49,Drama,12,J.C.Staff,Original,R - 17+ (violence & profanity),344,34366,2376,Winter 2008
36565,Major 2nd (TV),7.49,Comedy,25,OLM,Manga,PG-13 - Teens 13 or older,83,13264,1056,Spring 2018
13349,Chouyaku Hyakuninisshu: Uta Koi.,7.48,Comedy,13,TYO Animations,Manga,PG-13 - Teens 13 or older,106,8316,1760,Summer 2012
5671,Saki,7.48,Game,25,"Gonzo, Picture Magic",Manga,PG-13 - Teens 13 or older,818,40215,4616,Spring 2009
166,Samurai 7,7.48,Sci-Fi,26,Gonzo,Other,PG-13 - Teens 13 or older,744,67372,4474,Summer 2004
18523,Senyuu. 2,7.48,Action,13,"Ordet, LIDENFILMS",Web manga,PG-13 - Teens 13 or older,114,39772,651,Summer 2013
200,Tenshi na Konamaiki,7.48,Comedy,50,TMS Entertainment,Manga,PG-13 - Teens 13 or older,133,9671,1553,Spring 2002
593,Mugen no Ryvius,7.48,Drama,26,Sunrise,Original,PG-13 - Teens 13 or older,309,12388,1399,Fall 1999
691,Yawara!,7.48,Action,124,Madhouse,Manga,PG-13 - Teens 13 or older,82,2961,778,Fall 1989
40056,Deca-Dence,7.48,Action,12,Nut,Original,PG-13 - Teens 13 or older,638,91497,12512,Summer 2020
6573,Darker than Black: Ryuusei no Gemini,7.48,Action,12,Bones,Original,R - 17+ (violence & profanity),1588,262714,5134,Fall 2009
102,Aishiteruze Baby★★,7.48,Comedy,26,TMS Entertainment,Manga,PG-13 - Teens 13 or older,571,59770,4946,Spring 2004
1579,Kiniro no Corda: Primo Passo,7.48,Harem,25,Yumeta Company,Visual novel,PG-13 - Teens 13 or older,1142,58150,3698,Fall 2006
13115,Hakuouki Reimeiroku,7.48,Action,12,Studio Deen,Visual novel,R - 17+ (violence & profanity),155,26871,1498,Summer 2012
3613,Toshokan Sensou,7.48,Action,12,Production I.G,Novel,PG-13 - Teens 13 or older,385,29287,2354,Spring 2008
34262,Oushitsu Kyoushi Heine,7.47,Slice of Life,12,Bridge,Manga,PG-13 - Teens 13 or older,719,59408,6511,Spring 2017
481,Yu☆Gi☆Oh! Duel Monsters,7.47,Adventure,224,Gallop,Manga,PG-13 - Teens 13 or older,3848,224794,17953,Spring 2000
37475,Kishuku Gakkou no Juliet,7.47,Action,12,LIDENFILMS,Manga,PG-13 - Teens 13 or older,1392,128018,8167,Fall 2018
2409,Gokudou-kun Manyuuki,7.47,Adventure,26,Trans Arts,Light novel,PG-13 - Teens 13 or older,121,6165,594,Spring 1999
364,Gallery Fake,7.47,Mystery,37,"TMS Entertainment, Tokyo Kids, Minami Machi Bugyousho",Manga,PG-13 - Teens 13 or older,54,3237,651,Winter 2005
30736,Shingeki no Bahamut: Virgin Soul,7.47,Action,24,MAPPA,Card game,R - 17+ (violence & profanity),871,83837,7952,Spring 2017
852,Gokinjo Monogatari,7.47,Slice of Life,50,Toei Animation,Manga,PG-13 - Teens 13 or older,112,3396,719,Fall 1995
37349,Goblin Slayer,7.46,Action,12,White Fox,Light novel,R - 17+ (violence & profanity),5110,500635,37767,Fall 2018
3974,Tetsuwan Birdy Decode,7.46,Action,13,A-1 Pictures,Manga,PG-13 - Teens 13 or older,377,38798,2621,Summer 2008
2608,Wangan Midnight,7.46,Action,26,A.C.G.T.,Manga,PG-13 - Teens 13 or older,308,11954,1725,Summer 2007
8557,Shinryaku! Ika Musume,7.46,Comedy,12,Diomedéa,Manga,PG-13 - Teens 13 or older,954,92814,7288,Fall 2010
879,Simoun,7.46,Drama,26,Studio Deen,Original,PG-13 - Teens 13 or older,432,11791,2115,Spring 2006
35015,Ani ni Tsukeru Kusuri wa Nai!,7.46,Slice of Life,12,"Fanworks, Imagineer",Web manga,PG-13 - Teens 13 or older,271,34482,1441,Spring 2017
18465,Genshiken Nidaime,7.46,Slice of Life,13,Production I.G,Manga,R - 17+ (violence & profanity),113,25537,1477,Summer 2013
98,Mai-HiME,7.46,Action,26,Sunrise,Original,PG-13 - Teens 13 or older,1262,60321,4215,Fall 2004
11933,Oda Nobuna no Yabou,7.46,Comedy,12,"Madhouse, Studio Gokumi",Light novel,PG-13 - Teens 13 or older,1115,159454,8087,Summer 2012
15793,Senki Zesshou Symphogear G,7.46,Action,13,Satelight,Original,PG-13 - Teens 13 or older,574,30970,1260,Summer 2013
435,Magic Knight Rayearth,7.46,Adventure,20,Tokyo Movie Shinsha,Manga,PG-13 - Teens 13 or older,540,30690,2191,Fall 1994
11013,Inu x Boku SS,7.46,Comedy,12,David Production,Manga,PG-13 - Teens 13 or older,3326,256591,16089,Winter 2012
14527,Medaka Box Abnormal,7.46,Action,12,"Gainax, Asahi Production",Manga,PG-13 - Teens 13 or older,293,84653,2131,Fall 2012
1459,Uchuu no Kishi Tekkaman Blade,7.46,Action,49,Tatsunoko Production,Original,R - 17+ (violence & profanity),169,5829,571,Winter 1992
2596,Shinreigari,7.46,Sci-Fi,22,Production I.G,Original,PG-13 - Teens 13 or older,732,43632,5391,Fall 2007
142,Kamikaze Kaitou Jeanne,7.45,Adventure,44,Toei Animation,Manga,PG-13 - Teens 13 or older,499,32304,1977,Winter 1999
1852,Hidamari Sketch,7.45,Comedy,12,Shaft,4-koma manga,PG-13 - Teens 13 or older,924,27689,2808,Winter 2007
39586,Hataraku Saibou!!,7.45,Comedy,8,David Production,Manga,PG-13 - Teens 13 or older,425,5700,1585,Winter 2021
490,Paniponi Dash!,7.45,Comedy,26,Shaft,Manga,PG-13 - Teens 13 or older,400,21246,4245,Summer 2005
33094,WWW.Working!!,7.45,Slice of Life,13,A-1 Pictures,Web manga,PG-13 - Teens 13 or older,295,77107,4530,Fall 2016
9834,Level E,7.45,Sci-Fi,13,"Studio Pierrot, David Production",Manga,R - 17+ (violence & profanity),322,41875,4885,Winter 2011
586,Ayakashi: Japanese Classic Horror,7.45,Mystery,11,Toei Animation,Other,R - 17+ (violence & profanity),236,24984,1687,Winter 2006
38472,Isekai Quartet,7.45,Comedy,12,Studio PuYUKAI,Original,PG-13 - Teens 13 or older,992,182467,9300,Spring 2019
24703,High School DxD BorN,7.45,Action,12,TNK,Light novel,R+ - Mild Nudity,3957,484271,9772,Spring 2015
551,Grappler Baki: Saidai Tournament-hen,7.45,Action,24,Group TAC,Manga,R - 17+ (violence & profanity),189,34036,652,Summer 2001
35821,Chio-chan no Tsuugakuro,7.45,Comedy,12,Diomedéa,Manga,PG-13 - Teens 13 or older,272,46073,5781,Summer 2018
1069,Chou Denji Machine Voltes V,7.45,Action,40,"Sunrise, Toei Animation",Original,PG-13 - Teens 13 or older,73,3536,286,Summer 1977
15051,Love Live! School Idol Project,7.44,Music,13,Sunrise,Other,PG-13 - Teens 13 or older,8076,228525,12473,Winter 2013
4654,Toaru Majutsu no Index,7.44,Action,24,J.C.Staff,Light novel,R - 17+ (violence & profanity),7585,385870,27135,Fall 2008
287,Grappler Baki (TV),7.44,Action,24,Group TAC,Manga,PG-13 - Teens 13 or older,508,50535,2469,Winter 2001
696,Tenchi Muyou!,7.44,Comedy,26,AIC,Original,PG-13 - Teens 13 or older,602,39890,1986,Spring 1995
2037,Hime-chan no Ribbon,7.44,Comedy,61,Gallop,Manga,PG - Children,59,2683,419,Fall 1992
15613,Hakkenden: Touhou Hakken Ibun,7.44,Action,13,Studio Deen,Manga,PG-13 - Teens 13 or older,670,50274,4982,Winter 2013
20541,Mikakunin de Shinkoukei,7.44,Slice of Life,12,Doga Kobo,4-koma manga,PG-13 - Teens 13 or older,1060,183366,6788,Winter 2014
11235,Amagami SS+ Plus,7.44,Slice of Life,13,AIC,Visual novel,PG-13 - Teens 13 or older,338,95169,2785,Winter 2012
64,Rozen Maiden,7.44,Action,12,Nomad,Manga,PG-13 - Teens 13 or older,2074,113914,7852,Fall 2004
9938,Ikoku Meiro no Croisée The Animation,7.44,Slice of Life,12,Satelight,Manga,G - All Ages,167,25745,2923,Summer 2011
23135,PriPara,7.44,Music,140,"Tatsunoko Production, Dongwoo A&E",Game,PG - Children,332,3010,1913,Summer 2014
22729,Aldnoah.Zero,7.44,Action,12,"A-1 Pictures, TROYCA",Original,R - 17+ (violence & profanity),4020,306310,14993,Summer 2014
8726,Soredemo Machi wa Mawatteiru,7.44,Slice of Life,12,Shaft,Manga,PG-13 - Teens 13 or older,180,22305,2418,Fall 2010
30187,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,7.43,Drama,12,TROYCA,Novel,R - 17+ (violence & profanity),796,92578,10249,Fall 2015
35078,Mitsuboshi Colors,7.43,Comedy,12,SILVER LINK.,Manga,PG-13 - Teens 13 or older,286,28596,5029,Winter 2018
31798,Kiznaiver,7.43,Sci-Fi,12,Trigger,Original,PG-13 - Teens 13 or older,4135,330845,22798,Spring 2016
8841,Kore wa Zombie Desu ka?,7.43,Action,12,Studio Deen,Light novel,R - 17+ (violence & profanity),3272,386973,16949,Winter 2011
156,X,7.43,Action,24,Madhouse,Manga,R+ - Mild Nudity,796,39454,3006,Fall 2001
2548,Ai no Wakakusa Monogatari,7.43,Drama,48,Nippon Animation,Novel,G - All Ages,39,3175,270,Winter 1987
59,Chobits,7.43,Sci-Fi,26,Madhouse,Manga,PG-13 - Teens 13 or older,3859,272425,22409,Spring 2002
2923,Shugo Chara!,7.43,Comedy,51,Satelight,Manga,PG - Children,3568,111680,14793,Fall 2007
5262,Shugo Chara!! Doki,7.43,Comedy,51,Satelight,Manga,PG - Children,848,65332,3663,Fall 2008
33506,Ao no Exorcist: Kyoto Fujouou-hen,7.43,Action,12,A-1 Pictures,Manga,PG-13 - Teens 13 or older,1496,376853,13745,Winter 2017
21573,Senki Zesshou Symphogear GX,7.43,Action,13,Satelight,Original,PG-13 - Teens 13 or older,432,22842,775,Summer 2015
76,Mahou Shoujo Lyrical Nanoha,7.42,Action,13,Seven Arcs,Original,PG-13 - Teens 13 or older,1036,47731,2625,Fall 2004
32696,Fukigen na Mononokean,7.42,Comedy,13,Pierrot Plus,Web manga,PG-13 - Teens 13 or older,497,54972,6227,Summer 2016
242,Gokusen,7.42,Slice of Life,13,Madhouse,Manga,R - 17+ (violence & profanity),210,22258,1006,Winter 2004
23281,Psycho-Pass 2,7.42,Action,11,Tatsunoko Production,Original,R - 17+ (violence & profanity),1392,352491,11888,Fall 2014
134,Gunslinger Girl,7.42,Action,13,Madhouse,Manga,R - 17+ (violence & profanity),1140,82948,8160,Fall 2003
3972,Yu☆Gi☆Oh! 5D's,7.42,Action,154,Gallop,Manga,PG-13 - Teens 13 or older,1353,67244,9137,Spring 2008
42391,Osomatsu-san 3rd Season,7.42,Comedy,25,Studio Pierrot,Manga,R - 17+ (violence & profanity),55,3,378,Fall 2020
5233,Slayers Evolution-R,7.42,Adventure,13,J.C.Staff,Light novel,PG-13 - Teens 13 or older,43,19144,443,Winter 2009
36934,Captain Tsubasa (2018),7.42,Action,52,David Production,Manga,G - All Ages,285,18327,6989,Spring 2018
181,Vandread: The Second Stage,7.42,Action,13,Gonzo,Original,PG-13 - Teens 13 or older,117,40117,601,Fall 2001
40540,Sword Art Online: Alicization - War of Underworld 2nd Season,7.42,Action,11,A-1 Pictures,Light novel,R - 17+ (violence & profanity),3140,201021,5384,Summer 2020
1651,Uchuu Senkan Yamato 2,7.42,Action,26,Group TAC,Original,PG-13 - Teens 13 or older,29,2923,160,Fall 1978
35756,Comic Girls,7.42,Slice of Life,12,Nexus,4-koma manga,PG-13 - Teens 13 or older,562,54561,5219,Spring 2018
798,Yomigaeru Sora: Rescue Wings,7.42,Drama,12,J.C.Staff,Original,PG-13 - Teens 13 or older,35,4440,405,Winter 2006
1728,Super GALS! Kotobuki Ran,7.42,Comedy,52,Studio Pierrot,Manga,PG-13 - Teens 13 or older,173,7150,1530,Spring 2001
34933,Kakegurui,7.42,Game,12,MAPPA,Manga,R - 17+ (violence & profanity),7972,619004,32841,Summer 2017
165,RahXephon,7.42,Action,26,Bones,Original,PG-13 - Teens 13 or older,949,46207,4203,Winter 2002
30694,Dragon Ball Super,7.42,Action,131,Toei Animation,Manga,PG-13 - Teens 13 or older,8471,345941,27883,Summer 2015
35828,Miira no Kaikata,7.42,Slice of Life,12,8bit,Web manga,PG-13 - Teens 13 or older,401,40970,5233,Winter 2018
25,Sunabouzu,7.42,Action,24,Gonzo,Manga,R - 17+ (violence & profanity),790,53819,7951,Fall 2004
327,Puchi Pri*Yucie,7.42,Comedy,26,Gainax,Original,G - All Ages,83,6683,552,Fall 2002
131,Saiyuuki Reload Gunlock,7.42,Action,26,Studio Pierrot,Manga,PG-13 - Teens 13 or older,51,10446,519,Spring 2004
16123,Saki Zenkoku-hen,7.42,Game,13,Studio Gokumi,Manga,PG-13 - Teens 13 or older,129,17548,700,Winter 2014
33654,Hitorijime My Hero,7.41,Drama,12,Encourage Films,Manga,PG-13 - Teens 13 or older,1118,63849,4487,Summer 2017
25731,Cross Ange: Tenshi to Ryuu no Rondo,7.41,Action,25,Sunrise,Original,R - 17+ (violence & profanity),1399,82433,7861,Fall 2014
1327,Aoki Densetsu Shoot!,7.41,Action,58,Toei Animation,Manga,PG-13 - Teens 13 or older,72,6470,678,Fall 1993
34494,Sakura Quest,7.41,Slice of Life,25,P.A. Works,Original,PG-13 - Teens 13 or older,437,37985,13026,Spring 2017
130,Saiyuuki Reload,7.41,Action,25,Studio Pierrot,Manga,PG-13 - Teens 13 or older,116,15616,1189,Fall 2003
6895,Hakuouki,7.41,Action,12,Studio Deen,Visual novel,R - 17+ (violence & profanity),2030,78891,6279,Spring 2010
2014,Taiho Shichau zo: Second Season,7.41,Action,26,Studio Deen,Manga,PG-13 - Teens 13 or older,9,4778,197,Spring 2001
38787,Senryuu Shoujo,7.41,Slice of Life,12,Connect,4-koma manga,PG-13 - Teens 13 or older,402,66234,5737,Spring 2019
167,Scrapped Princess,7.41,Sci-Fi,24,Bones,Light novel,PG-13 - Teens 13 or older,433,42524,3269,Spring 2003
